year,entry_url,pdf_url,filename,status,error,timestamp
2019,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/2019,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/boletim-epidemiologico-svs-38-2-interativo.pdf,boletim-epidemiologico-svs-38-2-interativo.pdf,downloaded,,2026-06-05T19:24:13+00:00
2019,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/be-vol-be-50-no-35-situacao-da-raiva-no-brasil-e-recomendacoes-quanto-ao-uso-dos-imunobiologicos.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/be-vol-be-50-no-35-situacao-da-raiva-no-brasil-e-recomendacoes-quanto-ao-uso-dos-imunobiologicos.pdf,be-vol-be-50-no-35-situacao-da-raiva-no-brasil-e-recomendacoes-quanto-ao-uso-dos-imunobiologicos.pdf,downloaded,,2026-06-05T19:24:16+00:00
2019,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/boletim-epidemiologico-svs-38-2-interativo.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/boletim-epidemiologico-svs-38-2-interativo.pdf,boletim-epidemiologico-svs-38-2-interativo.pdf,existing,,2026-06-05T19:24:19+00:00
2019,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/boletim-especial-svs-16-anos.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2019/boletim-especial-svs-16-anos.pdf,boletim-especial-svs-16-anos.pdf,downloaded,,2026-06-05T19:24:19+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim_epidemiologico_svs_52.pdf,boletim_epidemiologico_svs_52.pdf,downloaded,,2026-06-05T19:24:32+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-03-v3.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-03-v3.pdf,boletim-epidemiologico-svs-03-v3.pdf,downloaded,,2026-06-05T19:24:35+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-16.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-16.pdf,boletim-epidemiologico-svs-16.pdf,downloaded,,2026-06-05T19:24:37+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-17.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-17.pdf,boletim-epidemiologico-svs-17.pdf,downloaded,,2026-06-05T19:24:38+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-26.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-26.pdf,boletim-epidemiologico-svs-26.pdf,downloaded,,2026-06-05T19:24:41+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-28-v2.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-28-v2.pdf,boletim-epidemiologico-svs-28-v2.pdf,downloaded,,2026-06-05T19:24:43+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-32.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-svs-32.pdf,boletim-epidemiologico-svs-32.pdf,downloaded,,2026-06-05T19:24:46+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-vol-51-no-01/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-vol-51-no-01/@@download/file,boletim-epidemiologico-vol-51-no-01.pdf,downloaded,,2026-06-05T19:24:47+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-vol-51-no-02.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-vol-51-no-02.pdf,boletim-epidemiologico-vol-51-no-02.pdf,downloaded,,2026-06-05T19:24:50+00:00
2020,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-vol-51-no-04.pdf/view,https://www.gov.br/saude/pt-br/centrais-de-conteudo/publicacoes/boletins/epidemiologicos/edicoes/2020/boletim-epidemiologico-vol-51-no-04.pdf,boletim-epidemiologico-vol-51-no-04.pdf,downloaded,,2026-06-05T19:24:51+00:00
